title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,cost_score,city,district,safety_score,services_score,final_score,latitude,longitude,osm_data
Apartamento en alquiler en Ur. San Gabriel,"Ur. San Gabriel, San Isidro, Lima, Lima ","USD9,999",4 dormitorios,4 baños,650 m²,2022.0,"S/.1,500",Apartamento,Alquiler,14 ene. 2023 - Publicado por PERU LUXURY PROPERTIES,https://www.properati.com.pe/detalle/14032-32-fdf0-d272ae4c8636-6a6db7c8-b377-41d1,36996.3,650.0,4,4,9.991453846153846,Lima,San Isidro,9,9.84,9.6,-12.0989209,-77.0346439,"San Isidro, Lima, Lima Metropolitana, Lima, Perú"
Casa en alquiler en Ur. Humboldt,"Ur. Humboldt, Miraflores, Lima, Lima ","USD1,700",4 dormitorios,3 baños,360 m²,2022.0,,Casa,Alquiler,4 feb. 2023 - Publicado por Silvia Seminario Agurto,https://www.properati.com.pe/detalle/14032-32-dce3-580c3545c01f-e625f046-8f55-42bf,6290.0,360.0,4,3,9.997376543209876,Lima,Miraflores,9,9.84,9.6,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ","USD1,400",3 dormitorios,4 baños,210 m²,2015.0,S/.650,Apartamento,Alquiler,19 nov. 2022 - Publicado por Lien Hub Inmobiliario,https://www.properati.com.pe/detalle/14032-32-1c87-391426fddf66-e9c9d2ce-af70-4c3e,5180.0,210.0,3,4,9.996296296296295,Lima,Miraflores,9,9.28,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD2,500",3 dormitorios,4 baños,200 m²,2020.0,S/.600,Apartamento,Alquiler,22 feb. 2023 - Publicado por Josh Vega,https://www.properati.com.pe/detalle/14032-32-b2f7-d3c31cf124d9-5b16b160-9cde-120d,9250.0,200.0,3,4,9.993055555555555,Lima,Miraflores,9,9.68,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,4 baños,120 m²,2017.0,,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-dc8e-bd09dfbec13e-9117ab38-b075-46cd,3700.0,120.0,3,4,9.99537037037037,Lima,Miraflores,9,9.44,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ","USD2,990",3 dormitorios,4 baños,355 m²,2018.0,"S/.1,100",Apartamento,Alquiler,15 ago. 2022 - Publicado por IMPERIAL INN MIRAFLORES S.A.C.,https://www.properati.com.pe/detalle/14032-32-e0ca-fa1410aff861-caeb33ac-8072-4c39,11063.0,355.0,3,4,9.995320813771515,Lima,Miraflores,9,9.52,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD6,500",5 dormitorios,5 baños,500 m²,2015.0,"S/.1,300",Apartamento,Alquiler,14 ene. 2023 - Publicado por PERU LUXURY PROPERTIES,https://www.properati.com.pe/detalle/14032-32-8f28-24c41263cce6-9ea03c1f-944b-4764,24050.0,500.0,5,5,9.992777777777778,Lima,Miraflores,9,9.28,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,4 baños,120 m²,2017.0,S/.600,Apartamento,Alquiler,7 mar. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-1abc-d574af44a7b-471bcff5-ae70-4ef2,3700.0,120.0,3,4,9.99537037037037,Lima,Miraflores,9,9.44,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Chacarilla Santa Cruz Zona Santa Isabel B,"Ur. Chacarilla Santa Cruz Zona Santa Isabel B, San Isidro, Lima, Lima ","USD1,500",3 dormitorios,4 baños,162 m²,2021.0,S/.1,Apartamento,Alquiler,"Hace 2 semanas, 5 días - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-a1c3-f7987295299e-d725da53-8601-4876,5550.0,162.0,3,4,9.99485596707819,Lima,San Isidro,9,9.76,9.5,-12.0989209,-77.0346439,"San Isidro, Lima, Lima Metropolitana, Lima, Perú"
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,000",3 dormitorios,4 baños,120 m²,2017.0,S/.600,Apartamento,Alquiler,"Hace 2 semanas, 4 días - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-5f34-2cb9cb9de99-94233060-b7d5-4099,3700.0,120.0,3,4,9.99537037037037,Lima,Miraflores,9,9.44,9.5,-12.1206214,-77.0294993,"Miraflores, Lima, Lima Metropolitana, Lima, Perú"
