title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,district,security_score,safety_score,cost_score,services_score,final_score
Apartamento en alquiler en Ur. Punta Hermosa Sur,"Ur. Punta Hermosa Sur, Punta Hermosa, Lima, Lima ","USD10,000",5 dormitorios,5 baños,350 m²,2020.0,"S/.1,000",Apartamento,Alquiler,14 ene. 2023 - Publicado por PERU LUXURY PROPERTIES,https://www.properati.com.pe/detalle/14032-32-55da-346ff8ea3606-b40c96db-bb15-4c1e,37000.0,350.0,5,5,PUNTA HERMOSA,9.85,9.85,9.971428571428572,9.84,9.9
Apartamento en alquiler en Ur. La Planicie,"Ur. La Planicie, Punta Hermosa, Lima, Lima ","USD1,050",4 dormitorios,3 baños,124 m²,2013.0,,Apartamento,Alquiler,"Hace 3 semanas, 1 hora - Publicado por Remax Integrity",https://www.properati.com.pe/detalle/14032-32-6156-5459dc0f56bf-15ca7353-b85a-4894,3885.0,124.0,4,3,PUNTA HERMOSA,9.85,9.85,9.991532258064517,9.56,9.85
Casa en alquiler en Ur. Los Bungalows,"Ur. Los Bungalows, San Bartolo, Lima, Lima ","USD2,000",4 dormitorios,3 baños,360 m²,2007.0,,Casa,Alquiler,16 dic. 2022 - Publicado por Vania Rodríguez Bustamante,https://www.properati.com.pe/detalle/14032-32-57da-39aaf6640713-ae27c9a5-b1a5-41cd,7400.0,360.0,4,3,SAN BARTOLO,9.9,9.9,9.994444444444445,9.32,9.82
Casa de playa en alquiler en Hu. Rivera Norte,"Hu. Rivera Norte, San Bartolo, Lima, Lima ","USD5,500",7 dormitorios,5 baños,200 m²,2003.0,,Casa de playa,Alquiler,28 feb. 2023 - Publicado por LIMA CORRETAJE S.A.C,https://www.properati.com.pe/detalle/14032-32-8b71-27fc0d1436f-51e09056-8231-455d,20350.0,200.0,7,5,SAN BARTOLO,9.9,9.9,9.9725,9.16,9.78
Casa en alquiler en Ur. La Planicie,"Ur. La Planicie, Punta Hermosa, Lima, Lima ","USD2,000",4 dormitorios,4 baños,300 m²,2000.0,,Casa,Alquiler,27 feb. 2023 - Publicado por LIMA CORRETAJE S.A.C,https://www.properati.com.pe/detalle/14032-32-9ac3-986b39f1fb07-d95948a7-8e02-49f7,7400.0,300.0,4,4,PUNTA HERMOSA,9.85,9.85,9.993333333333332,9.04,9.75
Casa en alquiler en Ur. Punta Hermosa Sur,"Ur. Punta Hermosa Sur, Punta Hermosa, Lima, Lima ","USD7,000",4 dormitorios,4 baños,263 m²,2000.0,,Casa,Alquiler,20 dic. 2022 - Publicado por Century 21 Ambassador,https://www.properati.com.pe/detalle/14032-32-3488-30d3dcd17b8a-5d075364-871d-3520,25900.0,263.0,4,4,PUNTA HERMOSA,9.85,9.85,9.97338403041825,9.04,9.74
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","USD3,000",4 dormitorios,3 baños,280 m²,2016.0,S/.900,Apartamento,Alquiler,10 mar. 2023 - Publicado por Proyectum  Perú,https://www.properati.com.pe/detalle/14032-32-e2d2-6f44fa7e639-e220733d-834e-4cf2,11100.0,280.0,4,3,BARRANCO,9.17,9.17,9.989285714285714,9.68,9.6
Apartamento en alquiler en Sd. S/N,"Sd. S/N, Magdalena del Mar, Lima, Lima ",USD990,3 dormitorios,3 baños,106 m²,2022.0,S/.470,Apartamento,Alquiler,1 mar. 2023 - Publicado por Javier Sánchez Agente Inmobiliario,https://www.properati.com.pe/detalle/14032-32-6e07-f27f9f70a6ed-1eb11940-926c-40a6,3663.0,106.0,3,3,MAGDALENA DEL MAR,9.26,9.26,9.99066037735849,9.32,9.56
Apartamento en alquiler en Ur. San Gabriel,"Ur. San Gabriel, San Isidro, Lima, Lima ","USD9,999",4 dormitorios,4 baños,650 m²,2022.0,"S/.1,500",Apartamento,Alquiler,14 ene. 2023 - Publicado por PERU LUXURY PROPERTIES,https://www.properati.com.pe/detalle/14032-32-fdf0-d272ae4c8636-6a6db7c8-b377-41d1,36996.3,650.0,4,4,SAN ISIDRO,8.86,8.86,9.984616923076924,9.92,9.52
Apartamento en alquiler en Ur. Chacarilla Santa Cruz Zona Santa Isabel B,"Ur. Chacarilla Santa Cruz Zona Santa Isabel B, San Isidro, Lima, Lima ","USD1,500",3 dormitorios,4 baños,162 m²,2021.0,S/.1,Apartamento,Alquiler,"Hace 2 semanas, 5 días - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-a1c3-f7987295299e-d725da53-8601-4876,5550.0,162.0,3,4,SAN ISIDRO,8.86,8.86,9.99074074074074,9.879999999999999,9.52
