district,crime_count,security_score
ANCON,14156,9.43
ATE,121068,4.99
BARRANCO,20350,9.17
BREÑA,34553,8.58
CARABAYLLO,74122,6.94
CHACLACAYO,13043,9.48
CHORRILLOS,70992,7.07
CIENEGUILLA,6839,9.73
COMAS,135967,4.37
EL AGUSTINO,56252,7.68
INDEPENDENCIA,84868,6.49
JESUS MARIA,33286,8.64
LA MOLINA,28546,8.83
LA VICTORIA,71132,7.06
LIMA,227283,0.58
LINCE,23628,9.04
LOS OLIVOS,109206,5.48
LURIGANCHO - CHOSICA,46562,8.08
LURIN,22542,9.08
MAGDALENA DEL MAR,18333,9.26
MIRAFLORES,56332,7.68
PACHACAMAC,22721,9.07
PUCUSANA,3917,9.85
PUEBLO LIBRE,21003,9.15
PUENTE PIEDRA,64917,7.32
PUNTA HERMOSA,3951,9.85
PUNTA NEGRA,2009,9.93
RIMAC,58004,7.61
SAN BARTOLO,2865,9.9
SAN BORJA,27788,8.86
SAN ISIDRO,27766,8.86
SAN JUAN DE LURIGANCHO,241363,0.0
SAN JUAN DE MIRAFLORES,81856,6.62
SAN LUIS,18304,9.26
SAN MARTIN DE PORRES,122610,4.93
SAN MIGUEL,31769,8.7
SANTA ANITA,51047,7.9
SANTA MARIA DEL MAR,403,10.0
SANTA ROSA,4456,9.83
SANTIAGO DE SURCO,100357,5.85
SURQUILLO,26856,8.9
VILLA EL SALVADOR,87302,6.39
VILLA MARIA DEL TRIUNFO,108293,5.52
