title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",USD900,2 dormitorios,2 baños,103 m²,2010,,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA",https://www.properati.com.pe/detalle/14032-32-d823-cfb2289def34-6e71b2e0-9ba2-120d
Apartamento en alquiler en Cercado,"Cercado, Arequipa, Arequipa, Arequipa ","S/.3,100",3 dormitorios,4 baños,151 m²,2021,,Apartamento,Alquiler,7 feb. 2023 - Publicado por Inmuebles Peruanos,https://www.properati.com.pe/detalle/14032-32-7f7c-b5e0b5e8c66c-846e2c62-9f6e-341f
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Barranco, Lima, Lima ",USD720,2 dormitorios,2 baños,66 m²,2020,S/.150,Apartamento,Alquiler,26 mar. 2023 - Publicado por JESUS ALTAMIRANO CONDEMARIN,https://www.properati.com.pe/detalle/14032-32-d929-423094f1e665-e35d2a8d-ba23-4949
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ","S/.2,600",1 dormitorio,2 baños,60 m²,,S/.330,Apartamento,Alquiler,"Hace 1 día, 18 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-18f5-9866cb5c4148-4615cdf5-9a34-4656
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, Santiago de Surco, Lima, Lima ","S/.2,300",2 dormitorios,2 baños,50 m²,2022,S/.250,Apartamento,Alquiler,"Hace 2 semanas, 3 días - Publicado por CASA VIP-CARLA ROSEMBERG",https://www.properati.com.pe/detalle/14032-32-d0c8-57679cfca873-81eb0680-a810-120d
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ","USD2,300",5 dormitorios,3 baños,194 m²,1962,S/.70,Casa,Alquiler,20 mar. 2023 - Publicado por Century 21 Horizonte,https://www.properati.com.pe/detalle/14032-32-98ae-591ec1d4ea75-d376fe09-8de7-489c
Habitación en alquiler en Ah. Los Jazmines Del Naranjal Sector Ii,"Ah. Los Jazmines Del Naranjal Sector Ii, San Martín de Porres, Lima, Lima ",S/.350,1 dormitorio,1 baño,14 m²,2017,,Habitación,Alquiler,11 mar. 2023 - Publicado por Jara Consorcio Inmobiliario,https://www.properati.com.pe/detalle/14032-32-fb43-d684356c7e87-29eed143-9924-49bd
Apartamento en alquiler en Ba. S/N,"Ba. S/N, Rimac, Lima, Lima ","USD1,200",1 dormitorio,2 baños,134 m²,,S/.650,Apartamento,Alquiler,"Hace 4 días, 2 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-e243-fa558c79236d-1d09f077-a2ae-49d1
Apartamento en alquiler en Piura,"Piura, Piura, Piura ","S/.1,500",1 dormitorio,1 baño,,,,Apartamento,Alquiler,"Hace 6 días, 12 horas - Publicado por Inmuebles El Buho",https://www.properati.com.pe/detalle/14032-32-2252-6ae4b9ef1230-e51bebe0-bf38-3118
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ","USD1,450",4 dormitorios,2 baños,185 m²,2000,S/.225,Apartamento,Alquiler,7 feb. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-395e-7fe825129747-57da5cd2-9bd3-4737
Finca en alquiler en Tarata,"Tarata, Tarata, Tacna ","USD1,820",2 dormitorios,2 baños,80 m²,,,Finca,Alquiler,17 oct. 2022 - Publicado por MAS PROPERTIES,https://www.properati.com.pe/detalle/14032-32-e76d-d40a944ecf-a2cf456f-9dbc-3c99
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ","S/.3,000",3 dormitorios,3 baños,70 m²,,S/.280,Apartamento,Alquiler,"Hace 1 día, 16 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-354b-6d5017ed3a54-800f052b-bfd2-4e1d
Apartamento en alquiler en Surquillo,"Surquillo, Lima, Lima ","S/.2,600",2 dormitorios,2 baños,70 m²,2022,S/.280,Apartamento,Alquiler,10 mar. 2023 - Publicado por BERTTOLÍ SERVICIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-bfb2-578e8a9e4d4b-a7c96ee0-b74f-120d
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ","S/.1,800",2 dormitorios,2 baños,120 m²,120 m²,,Apartamento,Alquiler,11 ene. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-a739-716f5245544f-7a369613-96d4-339f
Apartamento en alquiler en Tacna,"Tacna, Tacna, Tacna ",USD980,1 dormitorio,1 baño,40 m²,,,Apartamento,Alquiler,17 oct. 2022 - Publicado por MAS PROPERTIES,https://www.properati.com.pe/detalle/14032-32-cdba-c24d0eac5a38-b773dc73-8fba-3fdb
Casa en alquiler en Ur. San Andres,"Ur. San Andres, Trujillo, Trujillo, La Libertad ","S/.5,500",6 dormitorios,5 baños,300 m²,1983,,Casa,Alquiler,16 mar. 2023 - Publicado por JOSE CARDENAS BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-eaf3-f878ce8ad03e-f605c047-b32c-4b7f
Apartamento en alquiler en Ur. La Campiña,"Ur. La Campiña, Chorrillos, Lima, Lima ","S/.1,600",3 dormitorios,2 baños,76 m²,,,Apartamento,Alquiler,Hace 1 día - Publicado por Patricia y Rogelio,https://www.properati.com.pe/detalle/14032-32-de19-59e83e2b10db-bceeb890-a46f-120d
Casa en alquiler en Pimentel,"Pimentel, Chiclayo, Lambayeque ","S/.3,500",2 dormitorios,3 baños,300 m²,200 m²,,Casa,Alquiler,"Hace 2 semanas, 3 días - Publicado por Lula Botey Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-3c40-b6ee15efdf52-b0769207-8818-3e42
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","S/.2,600",2 dormitorios,2 baños,59 m²,2018,S/.180,Apartamento,Alquiler,"Hace 6 días, 21 horas - Publicado por Remax Visión Miraflores Lima",https://www.properati.com.pe/detalle/14032-32-b131-dcf648d5175e-8a70a8d9-ad23-443a
Apartamento en alquiler en Sd. Aeropuerto De Collique,"Sd. Aeropuerto De Collique, Comas, Lima, Lima ","S/.1,100",3 dormitorios,2 baños,75 m²,2018,S/.1,Apartamento,Alquiler,"Hace 1 día, 20 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-5d53-f4ee2212b4a9-253d030d-b7e7-42cb
